,ConfirmedCases,Fatalities,R,HospitalizedCases,CriticalCases,Date,CountryName,ExposedCases,RecoveredCases,InfectiousCases,t_hosp,t_crit,m,c,f
2020-04-06,629.7749024931126,1.3090891399126525,1.8612568446160744,148.1040251472803,81.9962372552226,2020-04-06,Kuwait,402.3793163405328,231.40935154241555,166.95619940828146,10.0,20.0,0.5,1.0,0.04619846347007992
2020-04-07,704.04955981208,1.511785032963979,1.7919272399347799,167.27139046156103,93.2205059174153,2020-04-07,Kuwait,439.376891328829,262.0036814119403,180.0421969881994,10.0,20.0,0.5,1.0,0.04619846347007992
2020-04-08,784.5354304787368,1.742135971596479,1.7215506739231956,187.6508378173931,105.77790812661235,2020-04-08,Kuwait,475.0244600866198,295.1708819156019,194.19366664753292,10.0,20.0,0.5,1.0,0.04619846347007992
2020-04-09,871.8866067787292,2.0027106796824894,1.6505575495900286,208.458841694333,119.88444561978348,2020-04-09,Kuwait,506.3561272988212,330.34599799379896,211.19461079113137,10.0,20.0,0.5,1.0,0.04619846347007992
2020-04-10,965.7751827845032,2.2968079139369157,1.5793735923396215,229.73100034120222,135.58850345917838,2020-04-10,Kuwait,533.1942691744264,367.6163117143174,230.54255935586838,10.0,20.0,0.5,1.0,0.04619846347007992
2020-04-11,1064.891254355304,2.6284564639172325,1.5084104635262399,252.32203577608772,152.77085003232645,2020-04-11,Kuwait,558.1495334465067,407.72134227233124,249.44856981064146,10.0,20.0,0.5,1.0,0.04619846347007992
2020-04-12,1167.2126441385392,3.0022546397413055,1.4380574718277628,277.68762992196923,171.18285295021587,2020-04-12,Kuwait,585.7199764128438,451.8727375119264,263.46716911468644,10.0,20.0,0.5,1.0,0.04619846347007992
2020-04-13,1273.0892835355542,3.4212619318251436,1.3686746671301073,304.9535164903483,190.98448006130695,2020-04-13,Kuwait,612.4171867631449,499.3592584834804,274.3707665685931,10.0,20.0,0.5,1.0,0.04619846347007992
2020-04-14,1383.3288910301549,3.887959876838252,1.3005874897134904,332.2933411855159,212.50732828315785,2020-04-14,Kuwait,633.4922223568591,548.6886293455119,285.95163233913104,10.0,20.0,0.5,1.0,0.04619846347007992
2020-04-15,1497.7477701629389,4.405537231550736,1.2340830365671727,358.88330174778133,235.86324331791533,2020-04-15,Kuwait,647.162060944908,599.1520822972474,299.44360556844407,10.0,20.0,0.5,1.0,0.04619846347007992
2020-04-16,1615.3031415531364,4.977848252886628,1.1694079066198413,384.8597619899074,260.9478503914253,2020-04-16,Kuwait,654.1120710397062,650.7854606342194,313.7322202846976,10.0,20.0,0.5,1.0,0.04619846347007992
2020-04-17,1734.0931428986105,5.609412697923891,1.1067675047041396,411.3192517971093,287.44055425323273,2020-04-17,Kuwait,657.4960119151611,704.3692187482659,325.3547054020785,10.0,20.0,0.5,1.0,0.04619846347007992
2020-04-18,1851.9290224977085,6.304897493655131,1.0463266241039273,439.69755357905535,314.92875760798455,2020-04-18,Kuwait,661.2178282802292,760.9312086806949,330.06660513631857,10.0,20.0,0.5,1.0,0.04619846347007992
2020-04-19,1969.343990088935,7.066183687161156,0.988211090445717,468.18825259402973,343.63068080855305,2020-04-19,Kuwait,661.2178142967008,818.885117089744,331.5737559094472,10.0,20.0,0.5,1.0,0.04619846347007992
2020-04-20,2086.3708737651077,7.89522296040637,0.9325102338979241,495.2954887356605,373.6885026918488,2020-04-20,Kuwait,655.358196865447,876.8792143879156,332.61244498927636,10.0,20.0,0.5,1.0,0.04619846347007992
2020-04-21,2202.471046935683,8.794358407107534,0.8792799588316536,520.4173896554344,405.0453394298007,2020-04-21,Kuwait,643.325205669622,934.2570874923426,333.95687195099765,10.0,20.0,0.5,1.0,0.04619846347007992
2020-04-22,2316.6985669253386,9.766189464637451,0.8285461960638555,543.6924790331374,437.4756058211611,2020-04-22,Kuwait,626.1178879494826,990.9342743189359,334.8300182874666,10.0,20.0,0.5,1.0,0.04619846347007992
2020-04-22,2427.700174973971,10.813571914024967,0.7803085481265085,565.9996765768542,470.585015291505,2020-04-22,Kuwait,606.0481085023872,1047.3982637823842,332.9036474092028,10.0,20.0,0.5,1.0,0.04619846347007992
2020-04-23,2534.149257993689,11.939060200853042,0.7345439685784001,588.3251488158868,503.9491979903311,2020-04-23,Kuwait,585.5291526146848,1104.2134070070706,325.7224439795471,10.0,20.0,0.5,1.0,0.04619846347007992
2020-04-24,2636.4007707713645,13.14262523065534,0.6912103487418433,609.234901679131,537.6686309423951,2020-04-24,Kuwait,562.6408119967388,1160.0461578521813,316.3084550670021,10.0,20.0,0.5,1.0,0.04619846347007992
2020-04-25,2734.3586715066094,14.424404830609305,0.6502499167508975,628.0191823071215,571.6896961602732,2020-04-25,Kuwait,537.10580980308,1214.1332832980038,306.09210491060185,10.0,20.0,0.5,1.0,0.04619846347007992
2020-04-26,2827.7767033307164,15.78451979053073,0.6115923826037749,644.4188002017482,605.8692424109474,2020-04-26,Kuwait,509.23414600944574,1266.0725624032261,295.6315785242638,10.0,20.0,0.5,1.0,0.04619846347007992
2020-04-27,2916.3510929309477,17.22296286624887,0.5751577879218203,658.4962577624862,640.002892556702,2020-04-27,Kuwait,479.65531968393867,1315.722113185437,284.9068665600737,10.0,20.0,0.5,1.0,0.04619846347007992
2020-04-28,2999.720550550532,18.739598779606418,0.5408590398386598,670.6357502863939,673.8250435551232,2020-04-28,Kuwait,449.3183289870272,1363.2003926211235,273.31976530828535,10.0,20.0,0.5,1.0,0.04619846347007992
