,ALL,N,T,U,K,L,M,O,A,R,S,G,F,P,I,C,B,J,E,D,Q,H
2020-05-09,0.6924646927755136,0.3885570254586767,0.3462323463877568,0.3462323463877568,0.9793392674393608,0.3462323463877568,0.5543281814622913,0.3462323463877568,0.3462323463877568,0.3462323463877568,0.3462323463877568,1.1679673986567782,0.3462323463877568,0.3462323463877568,0.3462323463877568,0.3462323463877568,0.3462323463877568,0.3462323463877568,0.3462323463877568,0.3462323463877568,0.5498998335093854,0.3462323463877568
2020-05-10,0.690628716789729,0.3639788124784499,0.3453143583948645,0.3453143583948645,1.0491163266782302,0.3453143583948645,0.5875459760958542,0.3453143583948645,0.3453143583948645,0.3453143583948645,0.3453143583948645,1.2381153112992214,0.3453143583948645,0.3453143583948645,0.3453143583948645,0.3453143583948645,0.3453143583948645,0.3453143583948645,0.3453143583948645,0.3453143583948645,0.4423523456904894,0.3453143583948645
2020-05-11,0.691257433579458,0.35449938055740293,0.345628716789729,0.345628716789729,1.0440426489590942,0.345628716789729,0.6243578808906646,0.345628716789729,0.345628716789729,0.345628716789729,0.345628716789729,1.1977038097320876,0.345628716789729,0.345628716789729,0.345628716789729,0.345628716789729,0.345628716789729,0.345628716789729,0.345628716789729,0.345628716789729,0.4136750032528679,0.345628716789729
2020-05-12,0.6966382139932044,0.3528794632489389,0.3483191069966022,0.3483191069966022,0.9532080850162588,0.3483191069966022,0.6598791112870284,0.3483191069966022,0.3483191069966022,0.3483191069966022,0.3483191069966022,1.0476444957669253,0.3483191069966022,0.3483191069966022,0.3483191069966022,0.3483191069966022,0.3483191069966022,0.3483191069966022,0.3483191069966022,0.3483191069966022,0.44874267763837783,0.3483191069966022
2020-05-13,0.7075796377062387,0.35378981885311933,0.35378981885311933,0.35378981885311933,0.8135662142118807,0.35378981885311933,0.6880637584723996,0.35378981885311933,0.35378981885311933,0.35378981885311933,0.35378981885311933,0.8964251429367863,0.35378981885311933,0.35378981885311933,0.35378981885311933,0.35378981885311933,0.35378981885311933,0.35378981885311933,0.35378981885311933,0.35378981885311933,0.5014237168488294,0.35378981885311933
2020-05-14,0.7188312273840468,0.3594156136920234,0.3594156136920234,0.3594156136920234,0.6684388247907875,0.3594156136920234,0.7117016783631692,0.3594156136920234,0.3594156136920234,0.3594156136920234,0.3594156136920234,0.794754659420672,0.3594156136920234,0.3594156136920234,0.3594156136920234,0.3594156136920234,0.3594156136920234,0.3594156136920234,0.3594156136920234,0.3594156136920234,0.5431576284926862,0.3594156136920234
2020-05-15,0.7263665346085332,0.3631832673042666,0.3631832673042666,0.3631832673042666,0.5712581969207302,0.3631832673042666,0.7301711422524011,0.3631832673042666,0.3631832673042666,0.3631832673042666,0.3631832673042666,0.7794845636515476,0.3631832673042666,0.3631832673042666,0.3631832673042666,0.3631832673042666,0.3631832673042666,0.3631832673042666,0.3631832673042666,0.3631832673042666,0.5665716880697426,0.3631832673042666
2020-05-16,0.7299556695182475,0.36497783475912376,0.36497783475912376,0.36497783475912376,0.5298445193497685,0.36497783475912376,0.7445744312125449,0.36497783475912376,0.36497783475912376,0.36497783475912376,0.36497783475912376,0.8496357510119776,0.36497783475912376,0.36497783475912376,0.36497783475912376,0.36497783475912376,0.36497783475912376,0.36497783475912376,0.36497783475912376,0.36497783475912376,0.5800448480554818,0.36497783475912376
2020-05-17,0.7330047486017376,0.3665023743008688,0.3665023743008688,0.3665023743008688,0.5174778925029799,0.3665023743008688,0.7572321073711135,0.3665023743008688,0.3665023743008688,0.3665023743008688,0.3665023743008688,0.9300020428256051,0.3665023743008688,0.3665023743008688,0.3665023743008688,0.3665023743008688,0.3665023743008688,0.3665023743008688,0.3665023743008688,0.3665023743008688,0.6102324303494439,0.3665023743008688
2020-05-18,0.7375353072244863,0.3687676536122432,0.3687676536122432,0.3687676536122432,0.5217080076412339,0.3687676536122432,0.7693704210952963,0.3687676536122432,0.3687676536122432,0.3687676536122432,0.3687676536122432,0.9642007175232441,0.3687676536122432,0.3687676536122432,0.3687676536122432,0.3687676536122432,0.3687676536122432,0.3687676536122432,0.3687676536122432,0.3687676536122432,0.6766183018977389,0.3687676536122432
